"RID","Easy_Reservation","Preferred_Seats","Flight_Options","Ticket_Prices","Seat_Comfort","Seat_Roominess","Overhead_Storage","Clean_Aircraft","Courtesy","Friendliness","Helpfulness","Service","Satisfaction","Recommend","Language","Smoker","Employment","Education","Marital","Sex","Age","Income","FlyAgain","FlyAgain2","Easy_Reservation.1","Preferred_Seats.1","Flight_Options.1","Ticket_Prices.1","Seat_Comfort.1","Seat_Roominess.1","Overhead_Storage.1","Clean_Aircraft.1","Courtesy.1","Friendliness.1","Helpfulness.1","Service.1"
1064,9,7,9,9,9,5,6,7,9,9,9,8,9,9,"English","No","Employed part-time","Master's degree","Living common law","Male","24 or younger","$40000 to $49999",1,"Yes","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","5","6","7","Strongly Agree","Strongly Agree","Strongly Agree","8"
1065,8,6,9,6,6,5,7,9,9,9,9,9,7,9,"English","No","Fully employed","No certificate, diploma or degree","Separated, not living with a life partner","Male","55 to 64","$30000 to $39999",1,"Yes","8","6","Strongly Agree","6","6","5","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1066,9,9,9,9,9,9,8,9,8,6,9,8,6,9,"French","No","Fully employed","Bachelor's degree","Divorced, not living with a life partner",NA,"24 or younger","$50000 to $59999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","6","Strongly Agree","8"
1067,9,7,6,9,9,9,8,9,9,9,7,8,7,7,"English","No","Employed part-time","High school diploma or certificate","Living common law","Female","24 or younger","$70000 to $79999",1,"Yes","Strongly Agree","7","6","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","7","8"
1068,9,9,9,6,9,9,6,8,9,9,5,8,6,9,"Spanish","No","Employed part-time","trades certificate","Married","Male","25 to 34","$60000 to $69999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","6","Strongly Agree","Strongly Agree","6","8","Strongly Agree","Strongly Agree","5","8"
1069,9,9,9,8,7,5,6,7,9,5,7,7,5,7,"English","No","Not employed","Master's degree","Separated, not living with a life partner","Male","55 to 64","$20000 to $29999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","7","5","6","7","Strongly Agree","5","7","7"
1070,9,6,9,6,9,9,9,8,9,8,9,9,9,8,"English","No",NA,"College diploma","Married",NA,"45 to 54","$20000 to $29999",1,"Yes","Strongly Agree","6","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree"
1071,9,8,9,9,9,7,7,9,9,9,5,8,8,9,"English","No","Employed part-time","trades certificate","Married","Male","55 to 64","$30000 to $39999",1,"Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","7","7","Strongly Agree","Strongly Agree","Strongly Agree","5","8"
1072,9,9,9,7,7,7,8,9,9,9,9,8,7,8,"Spanish","No","Not employed","College diploma","Living common law","Female","65 to 74","$50000 to $59999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","7","7","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8"
1073,9,8,9,8,7,6,4,9,9,9,9,7,7,8,"French","No","Employed part-time","No certificate, diploma or degree","Married","Female","75 to 84","$80000 to $89999",1,"Yes","Strongly Agree","8","Strongly Agree","8","7","6","4","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7"
1074,9,9,6,8,9,8,9,9,9,8,9,9,9,8,NA,"No","Not employed","High school diploma or certificate","Living common law","Female","65 to 74","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","6","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
1075,8,5,9,6,9,9,9,9,9,9,9,9,9,8,"French","No","Not employed","trades certificate","Living common law","Female","65 to 74","$100000 to $149999",0,"No","8","5","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1076,7,7,5,4,7,3,3,7,6,7,9,8,9,6,NA,"No","Not employed","No certificate, diploma or degree","Separated, not living with a life partner","Female","35 to 44","$60000 to $69999",0,"No","7","7","5","4","7","3","3","7","6","7","Strongly Agree","8"
1077,9,9,9,9,9,9,8,9,9,9,9,8,8,9,NA,"No","Not employed","No certificate, diploma or degree","Married","Male","45 to 54","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8"
1078,9,9,9,8,9,9,9,9,9,8,9,9,9,9,"Spanish","No","Fully employed","High school diploma or certificate","Living common law",NA,"35 to 44","$20000 to $29999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
1079,9,9,6,8,8,9,6,6,9,6,8,7,8,5,"Spanish","No","Not employed","College diploma","Married","Female","55 to 64","$70000 to $79999",0,"No","Strongly Agree","Strongly Agree","6","8","8","Strongly Agree","6","6","Strongly Agree","6","8","7"
1080,9,9,6,6,9,9,7,8,9,8,9,9,5,9,"French","Yes",NA,"Bachelor's degree","Married","Male","75 to 84",NA,1,"Yes","Strongly Agree","Strongly Agree","6","6","Strongly Agree","Strongly Agree","7","8","Strongly Agree","8","Strongly Agree","Strongly Agree"
1081,5,3,6,4,9,9,7,8,7,9,8,9,8,7,"English","No","Employed part-time","No certificate, diploma or degree","Married","Male","75 to 84","$30000 to $39999",0,"No","5","3","6","4","Strongly Agree","Strongly Agree","7","8","7","Strongly Agree","8","Strongly Agree"
1082,7,4,6,6,4,6,6,7,9,7,8,9,2,5,"Spanish","Yes","Fully employed","College diploma","Married","Male","65 to 74","$40000 to $49999",0,"No","7","4","6","6","4","6","6","7","Strongly Agree","7","8","Strongly Agree"
1083,9,7,6,7,6,5,6,6,8,7,6,7,8,7,"French","No","Fully employed","High school diploma or certificate","Living common law","Male","75 to 84","$20000 to $29999",0,"No","Strongly Agree","7","6","7","6","5","6","6","8","7","6","7"
1084,9,8,7,8,7,4,8,7,9,9,9,9,9,6,"English","No","Employed part-time","Bachelor's degree","Living common law","Female",NA,"$20000 to $29999",1,"Yes","Strongly Agree","8","7","8","7","4","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1085,9,7,8,3,9,7,9,8,9,8,8,8,9,7,"French","No","Employed part-time","Bachelor's degree","Married","Male","45 to 54",NA,0,"No","Strongly Agree","7","8","3","Strongly Agree","7","Strongly Agree","8","Strongly Agree","8","8","8"
1086,9,8,9,7,9,9,8,9,9,8,9,9,9,9,"English","No","Fully employed","High school diploma or certificate","Married","Male",NA,"$60000 to $69999",1,"Yes","Strongly Agree","8","Strongly Agree","7","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
1087,9,9,9,5,7,8,8,5,4,6,8,7,8,9,"English","No","Not employed","trades certificate","Married","Female","45 to 54","$90000 to $99999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","5","7","8","8","5","4","6","8","7"
1088,7,3,4,5,7,5,6,8,9,8,8,9,9,3,"English","No","Fully employed","High school diploma or certificate","Married",NA,"55 to 64","$60000 to $69999",0,"No","7","3","4","5","7","5","6","8","Strongly Agree","8","8","Strongly Agree"
1089,9,7,7,7,9,9,9,9,9,9,9,9,9,8,"English","No","Fully employed","High school diploma or certificate","Living common law","Female","85 to 94",NA,1,"Yes","Strongly Agree","7","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1090,8,7,8,3,7,9,8,9,9,9,9,9,9,5,"English","No","Fully employed","High school diploma or certificate","Living common law","Male","24 or younger","$70000 to $79999",0,"No","8","7","8","3","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1091,9,8,7,5,8,8,9,9,9,8,7,9,9,7,"English","No","Employed part-time","No certificate, diploma or degree","Divorced, not living with a life partner",NA,"65 to 74","$20000 to $29999",1,"Yes","Strongly Agree","8","7","5","8","8","Strongly Agree","Strongly Agree","Strongly Agree","8","7","Strongly Agree"
1092,9,8,6,7,9,7,6,8,9,9,9,9,8,7,"Italian","Yes","Fully employed","College diploma","Living common law","Male","35 to 44","$175,000 to $199,999,",0,"No","Strongly Agree","8","6","7","Strongly Agree","7","6","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1093,8,3,8,8,8,7,7,8,8,6,9,8,6,4,NA,"No","Not employed","Bachelor's degree","Married","Male","65 to 74","$30000 to $39999",1,"Yes","8","3","8","8","8","7","7","8","8","6","Strongly Agree","8"
1094,7,5,7,4,9,9,9,9,8,7,9,9,7,9,"French","No","Fully employed","High school diploma or certificate","Married","Male","24 or younger","Less than $20,000",0,"No","7","5","7","4","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree"
1095,9,6,8,6,9,9,9,9,9,7,9,9,9,8,"English","No","Not employed","Bachelor's degree","Married","Female","45 to 54","$100000 to $149999",1,"Yes","Strongly Agree","6","8","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree"
1096,5,5,5,5,9,8,6,9,9,9,9,9,9,7,"English","Yes","Fully employed","College diploma","Separated, not living with a life partner","Female","55 to 64","$80000 to $89999",0,"No","5","5","5","5","Strongly Agree","8","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1097,9,9,4,8,9,9,8,9,9,9,9,9,9,7,"English","No","Employed part-time",NA,"Married","Male","65 to 74","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","4","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1098,9,5,5,7,9,8,8,9,7,8,7,9,7,7,"Spanish","Yes","Fully employed","Master's degree","Living common law","Female","65 to 74","$40000 to $49999",0,"No","Strongly Agree","5","5","7","Strongly Agree","8","8","Strongly Agree","7","8","7","Strongly Agree"
1099,6,5,7,6,8,7,5,5,9,9,7,8,7,3,NA,"No","Fully employed","Bachelor's degree",NA,"Female","55 to 64","$70000 to $79999",1,"Yes","6","5","7","6","8","7","5","5","Strongly Agree","Strongly Agree","7","8"
1100,7,7,9,7,8,7,7,6,8,7,6,6,9,7,"English",NA,"Fully employed","No certificate, diploma or degree","Divorced, not living with a life partner",NA,"45 to 54",NA,0,"No","7","7","Strongly Agree","7","8","7","7","6","8","7","6","6"
1101,9,9,5,9,9,8,8,9,9,8,9,9,6,7,"French","No","Not employed","High school diploma or certificate","Married",NA,"65 to 74","$20000 to $29999",1,"Yes","Strongly Agree","Strongly Agree","5","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
1102,9,4,8,4,8,6,7,9,9,9,8,9,8,7,"English",NA,"Not employed","High school diploma or certificate","Widowed","Female","85 to 94","$150,000 to $174,999",1,"Yes","Strongly Agree","4","8","4","8","6","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
1103,9,7,6,5,4,8,4,9,9,9,9,9,7,8,"English","No","Employed part-time","Bachelor's degree","Married","Female","75 to 84","$20000 to $29999",1,"Yes","Strongly Agree","7","6","5","4","8","4","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1104,9,7,8,9,8,5,7,7,8,8,7,8,8,8,"Spanish","No","Fully employed","High school diploma or certificate","Married","Female","45 to 54","$30000 to $39999",1,"Yes","Strongly Agree","7","8","Strongly Agree","8","5","7","7","8","8","7","8"
1105,9,9,7,9,9,9,9,9,7,8,9,9,7,9,NA,"No","Employed part-time","Bachelor's degree","Living common law","Male","65 to 74","$70000 to $79999",1,"Yes","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","8","Strongly Agree","Strongly Agree"
1106,7,6,5,5,8,7,3,8,9,9,7,8,9,6,"English","No","Fully employed","High school diploma or certificate","Separated, not living with a life partner","Male","65 to 74","$30000 to $39999",0,"No","7","6","5","5","8","7","3","8","Strongly Agree","Strongly Agree","7","8"
1107,9,8,9,9,9,9,9,9,9,9,9,9,9,9,"English","No","Employed part-time","High school diploma or certificate","Married","Male","75 to 84","$40000 to $49999",1,"Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1108,9,8,5,7,9,9,9,9,9,9,9,9,9,9,"English","No","Not employed","High school diploma or certificate","Divorced, not living with a life partner","Female","45 to 54","$60000 to $69999",1,"Yes","Strongly Agree","8","5","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1109,8,9,6,7,8,8,4,9,9,9,9,8,9,7,"English","No","Fully employed","Bachelor's degree",NA,"Male","35 to 44","$30000 to $39999",1,"Yes","8","Strongly Agree","6","7","8","8","4","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8"
1110,7,4,8,7,9,7,9,8,9,9,9,9,8,5,NA,"No","Not employed","College diploma",NA,"Male",NA,"$40000 to $49999",1,"Yes","7","4","8","7","Strongly Agree","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1111,8,7,6,6,9,5,7,8,9,9,8,8,9,5,"English","Yes","Fully employed","No certificate, diploma or degree","Living common law","Male","24 or younger","$30000 to $39999",0,"No","8","7","6","6","Strongly Agree","5","7","8","Strongly Agree","Strongly Agree","8","8"
1112,9,4,3,8,8,7,3,6,9,9,9,9,5,5,"Spanish","No","Employed part-time","trades certificate","Married","Male","24 or younger","$175,000 to $199,999,",1,"Yes","Strongly Agree","4","3","8","8","7","3","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1113,9,4,8,8,8,8,6,6,9,7,7,8,7,5,"English","No","Not employed","trades certificate","Single, never married, not living with a life partner","Male","85 to 94","$90000 to $99999",1,"Yes","Strongly Agree","4","8","8","8","8","6","6","Strongly Agree","7","7","8"
1114,7,8,9,7,6,7,6,7,7,9,8,9,8,5,"English","No","Not employed","High school diploma or certificate","Single, never married, not living with a life partner","Male","75 to 84","$30000 to $39999",0,"No","7","8","Strongly Agree","7","6","7","6","7","7","Strongly Agree","8","Strongly Agree"
1115,9,9,7,7,8,9,5,9,9,9,8,9,8,8,"English","No","Not employed","Medical degree","Married","Female","24 or younger","$20000 to $29999",1,"Yes","Strongly Agree","Strongly Agree","7","7","8","Strongly Agree","5","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
1116,9,9,9,9,9,7,6,9,9,7,9,9,9,9,"French","No","Not employed","College diploma",NA,"Male","65 to 74","$20000 to $29999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","6","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree"
1117,9,8,9,9,6,9,6,8,9,9,9,9,9,8,"Spanish","No","Employed part-time","Bachelor's degree","Divorced, not living with a life partner","Female","55 to 64","$30000 to $39999",1,"Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","6","Strongly Agree","6","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1118,9,6,9,6,9,8,9,9,9,9,9,9,9,9,"Spanish","No","Fully employed","No certificate, diploma or degree","Married","Female","75 to 84","$90000 to $99999",1,"Yes","Strongly Agree","6","Strongly Agree","6","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1119,6,6,5,6,8,9,9,8,6,7,8,8,9,9,"English","No","Not employed","No certificate, diploma or degree","Single, never married, not living with a life partner","Male",NA,"$60000 to $69999",1,"Yes","6","6","5","6","8","Strongly Agree","Strongly Agree","8","6","7","8","8"
1120,9,9,9,8,9,7,9,8,8,8,9,7,9,7,"English","Yes","Employed part-time","No certificate, diploma or degree","Widowed","Female","25 to 34","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","7","Strongly Agree","8","8","8","Strongly Agree","7"
1121,9,9,7,7,9,8,6,9,9,7,7,7,7,9,"Spanish","No","Employed part-time","Master's degree","Married","Male","65 to 74","$20000 to $29999",1,"Yes","Strongly Agree","Strongly Agree","7","7","Strongly Agree","8","6","Strongly Agree","Strongly Agree","7","7","7"
1122,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"English","No","Not employed","High school diploma or certificate","Living common law","Female",NA,"$60000 to $69999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1123,7,7,8,6,9,8,8,9,9,9,7,8,5,6,"English","No","Fully employed","High school diploma or certificate","Single, never married, not living with a life partner","Male","65 to 74","$50000 to $59999",0,"No","7","7","8","6","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","7","8"
1124,9,9,9,9,8,9,8,7,8,7,7,9,9,9,"English","No","Employed part-time","Bachelor's degree","Single, never married, not living with a life partner","Male","45 to 54","$30000 to $39999",0,"No","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","7","8","7","7","Strongly Agree"
1125,7,6,6,6,8,8,5,8,6,5,5,5,6,6,"English","No","Fully employed","High school diploma or certificate","Married","Male","24 or younger","$30000 to $39999",0,"No","7","6","6","6","8","8","5","8","6","5","5","5"
1126,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"Spanish",NA,NA,"High school diploma or certificate","Living common law","Female","85 to 94","$175,000 to $199,999,",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1127,9,9,8,6,8,5,3,9,8,9,9,9,8,5,"French",NA,"Employed part-time","No certificate, diploma or degree","Separated, not living with a life partner","Male","65 to 74","$20000 to $29999",1,"Yes","Strongly Agree","Strongly Agree","8","6","8","5","3","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
1128,9,4,4,4,7,4,9,9,9,9,9,9,9,6,"German","Yes","Employed part-time","trades certificate",NA,"Male","25 to 34","$40000 to $49999",1,"Yes","Strongly Agree","4","4","4","7","4","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1129,9,6,9,7,9,9,7,7,9,9,9,9,9,8,"Spanish",NA,"Employed part-time","University certificate below bachelor level","Living common law","Female","85 to 94","$50000 to $59999",0,"No","Strongly Agree","6","Strongly Agree","7","Strongly Agree","Strongly Agree","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1130,7,8,4,3,9,9,9,9,9,8,9,8,8,8,"English","Yes","Employed part-time","No certificate, diploma or degree","Married","Female","65 to 74","$60000 to $69999",0,"No","7","8","4","3","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8"
1131,9,8,9,7,9,9,9,9,9,9,9,9,9,9,"Spanish","No","Employed part-time","Bachelor's degree","Married","Female","85 to 94","$70000 to $79999",1,"Yes","Strongly Agree","8","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1132,9,8,5,8,8,7,6,9,9,9,9,9,8,7,"English","No","Employed part-time","trades certificate","Married","Female","24 or younger","$20000 to $29999",0,"No","Strongly Agree","8","5","8","8","7","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1133,5,5,6,6,9,6,6,8,5,7,6,7,7,5,"English","Yes","Not employed","No certificate, diploma or degree","Living common law","Male","75 to 84","$60000 to $69999",0,"No","5","5","6","6","Strongly Agree","6","6","8","5","7","6","7"
1134,9,7,7,9,9,9,9,9,9,8,9,9,8,9,"English",NA,"Not employed","No certificate, diploma or degree","Widowed","Male","75 to 84","$30000 to $39999",1,"Yes","Strongly Agree","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
1135,9,9,8,7,8,7,6,7,9,9,9,9,9,7,"English","Yes","Employed part-time","No certificate, diploma or degree","Divorced, not living with a life partner","Male","55 to 64","$60000 to $69999",0,"No","Strongly Agree","Strongly Agree","8","7","8","7","6","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1136,7,3,4,6,7,6,4,7,9,7,8,9,9,2,"Spanish","No","Fully employed","No certificate, diploma or degree","Married","Female","45 to 54","$20000 to $29999",0,"No","7","3","4","6","7","6","4","7","Strongly Agree","7","8","Strongly Agree"
1137,9,6,7,8,9,9,8,9,9,9,9,9,9,9,"Italian","No",NA,NA,NA,"Female",NA,"$60000 to $69999",1,"Yes","Strongly Agree","6","7","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1138,8,8,5,4,9,9,9,9,9,7,7,7,7,9,"English","Yes","Employed part-time","College diploma","Married","Male","75 to 84","$100000 to $149999",1,"Yes","8","8","5","4","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","7","7"
1139,7,7,7,5,8,6,5,9,9,9,8,7,5,7,"English","No","Not employed","No certificate, diploma or degree","Divorced, not living with a life partner","Male","25 to 34","Less than $20,000",0,"No","7","7","7","5","8","6","5","Strongly Agree","Strongly Agree","Strongly Agree","8","7"
1140,9,8,8,6,9,5,8,6,9,9,9,9,7,9,"English",NA,"Fully employed","Master's degree","Living common law","Female","85 to 94","$50000 to $59999",1,"Yes","Strongly Agree","8","8","6","Strongly Agree","5","8","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1141,9,7,7,9,9,7,8,9,9,7,9,8,8,7,NA,"Yes","Not employed","trades certificate","Married","Male","75 to 84","Less than $20,000",1,"Yes","Strongly Agree","7","7","Strongly Agree","Strongly Agree","7","8","Strongly Agree","Strongly Agree","7","Strongly Agree","8"
1142,7,7,5,5,7,9,6,9,9,9,9,9,9,8,"English","Yes","Employed part-time","College diploma","Separated, not living with a life partner","Female","45 to 54","$70000 to $79999",1,"Yes","7","7","5","5","7","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1143,8,7,5,8,7,7,5,8,9,9,9,9,9,7,"English",NA,"Not employed",NA,"Married","Female","65 to 74","$30000 to $39999",1,"Yes","8","7","5","8","7","7","5","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1144,9,7,8,9,7,8,8,7,9,9,9,9,7,5,"French","Yes","Fully employed","High school diploma or certificate","Married","Female","75 to 84","$90000 to $99999",1,"Yes","Strongly Agree","7","8","Strongly Agree","7","8","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1145,7,9,8,8,9,8,6,8,9,9,9,9,9,8,"Italian","No","Not employed","No certificate, diploma or degree","Married","Female","24 or younger","$60000 to $69999",0,"No","7","Strongly Agree","8","8","Strongly Agree","8","6","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1146,9,7,8,9,7,6,4,8,6,9,9,8,8,9,"English",NA,"Not employed",NA,"Married","Male","75 to 84","$80000 to $89999",1,"Yes","Strongly Agree","7","8","Strongly Agree","7","6","4","8","6","Strongly Agree","Strongly Agree","8"
1147,8,9,9,9,9,8,9,7,9,9,9,9,9,6,"French","No","Fully employed","High school diploma or certificate","Divorced, not living with a life partner",NA,"45 to 54","$80000 to $89999",0,"No","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1148,8,8,8,8,8,8,5,8,8,9,9,7,5,9,"English","No","Employed part-time","College diploma",NA,"Male","65 to 74","$80000 to $89999",1,"Yes","8","8","8","8","8","8","5","8","8","Strongly Agree","Strongly Agree","7"
1149,9,7,9,6,9,9,9,9,9,9,8,9,9,7,"French","No","Fully employed","College diploma","Married",NA,"35 to 44","$60000 to $69999",1,"Yes","Strongly Agree","7","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
1150,9,7,8,8,7,8,5,8,9,9,7,6,5,6,"English","No","Not employed","College diploma","Married","Female","24 or younger",NA,1,"Yes","Strongly Agree","7","8","8","7","8","5","8","Strongly Agree","Strongly Agree","7","6"
1151,9,7,7,8,9,8,9,9,9,9,9,9,8,8,"English","No","Fully employed","High school diploma or certificate","Living common law","Female","24 or younger","$40000 to $49999",1,"Yes","Strongly Agree","7","7","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1152,9,8,5,9,9,8,8,9,9,8,9,9,9,7,"English","No","Employed part-time","trades certificate","Separated, not living with a life partner","Male","65 to 74","Less than $20,000",1,"Yes","Strongly Agree","8","5","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
1153,7,7,5,9,9,9,9,9,5,9,7,8,9,9,"Spanish","Yes","Employed part-time","No certificate, diploma or degree","Living common law","Female","55 to 64","$50000 to $59999",1,"Yes","7","7","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","5","Strongly Agree","7","8"
1154,9,8,4,7,6,7,9,4,9,9,8,9,7,2,"English","No","Employed part-time",NA,NA,"Male","65 to 74","$30000 to $39999",0,"No","Strongly Agree","8","4","7","6","7","Strongly Agree","4","Strongly Agree","Strongly Agree","8","Strongly Agree"
1155,6,6,5,7,9,8,9,9,9,9,9,9,7,6,"French","No","Fully employed","College diploma","Married","Male","85 to 94","Less than $20,000",1,"Yes","6","6","5","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1156,9,6,9,7,9,7,9,9,9,9,9,9,9,9,"English",NA,"Employed part-time","Master's degree","Single, never married, not living with a life partner","Female","65 to 74","$200,000 or more",1,"Yes","Strongly Agree","6","Strongly Agree","7","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1157,9,6,9,9,9,8,8,9,8,9,9,9,9,9,"French","No","Not employed","trades certificate","Living common law","Female","85 to 94","$200,000 or more",1,"Yes","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","8","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
1158,8,8,9,8,9,8,9,9,9,9,9,9,7,9,"English","No","Fully employed","No certificate, diploma or degree","Married","Male","65 to 74","Less than $20,000",1,"Yes","8","8","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1159,9,9,8,8,9,9,8,9,8,9,9,8,8,8,"English","No","Fully employed","No certificate, diploma or degree","Married",NA,NA,"$70000 to $79999",1,"Yes","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","8"
