"RID","ClustSeg","Easy_Reservation","Preferred_Seats","Flight_Options","Ticket_Prices","Seat_Comfort","Seat_Roominess","Overhead_Storage","Clean_Aircraft","Courtesy","Friendliness","Helpfulness","Service","Satisfaction","Recommend","Language","Smoker","Employment","Education","Marital","Sex","Age","Income","FlyAgain","FlyAgain2","Easy_Reservation.1","Preferred_Seats.1","Flight_Options.1","Ticket_Prices.1","Seat_Comfort.1","Seat_Roominess.1","Overhead_Storage.1","Clean_Aircraft.1","Courtesy.1","Friendliness.1","Helpfulness.1","Service.1"
721,"Seg4",6,6,7,5,8,4,6,7,7,7,5,3,7,6,,"No","Employed part-time","No certificate, diploma or degree","Married","Male","75 to 84","$20000 to $29999","0","No","6","6","7","5","8","4","6","7","7","7","5","3"
722,"Seg3",9,9,7,4,9,9,7,9,8,8,8,9,9,9,"English",,"Not employed","Master's degree","Married","Male","65 to 74","$80000 to $89999","1","Yes","Strongly Agree","Strongly Agree","7","4","Strongly Agree","Strongly Agree","7","Strongly Agree","8","8","8","Strongly Agree"
723,"Seg6",9,9,8,7,9,9,9,9,9,9,9,9,9,9,,"Yes","Employed part-time","High school diploma or certificate","Single, never married, not living with a life partner","Female","35 to 44","$100000 to $149999","1","Yes","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
724,"Seg4",7,5,5,8,2,4,2,4,8,5,8,7,7,1,"English","No","Fully employed",,"Married","Female","55 to 64","$40000 to $49999","0","No","7","5","5","8","2","4","2","4","8","5","8","7"
725,"Seg1",9,8,6,6,4,7,6,6,8,8,8,9,5,7,"English","No","Not employed","College diploma",,"Female","55 to 64","$20000 to $29999","1","Yes","Strongly Agree","8","6","6","4","7","6","6","8","8","8","Strongly Agree"
726,"Seg6",9,8,7,7,9,8,8,8,7,9,8,9,9,8,"English","No","Fully employed",,"Married",,"75 to 84","$175,000 to $199,999,","1","Yes","Strongly Agree","8","7","7","Strongly Agree","8","8","8","7","Strongly Agree","8","Strongly Agree"
727,"Seg6",9,8,9,9,9,7,8,9,8,7,7,7,9,9,"English","No","Fully employed","No certificate, diploma or degree","Married","Female","65 to 74","Less than $20,000","1","Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","7","8","Strongly Agree","8","7","7","7"
728,"Seg8",9,8,7,7,8,4,5,6,7,5,6,8,8,7,,"No","Employed part-time","University certificate below bachelor level","Married",,"55 to 64","Less than $20,000","1","Yes","Strongly Agree","8","7","7","8","4","5","6","7","5","6","8"
729,"Seg7",8,5,6,7,5,7,8,8,7,9,7,8,7,6,"English","No","Employed part-time","College diploma","Married","Female",,"$30000 to $39999","0","No","8","5","6","7","5","7","8","8","7","Strongly Agree","7","8"
730,"Seg3",9,7,6,7,9,8,7,8,9,9,9,9,9,6,"Spanish","Yes","Fully employed","High school diploma or certificate","Single, never married, not living with a life partner","Female","45 to 54","$30000 to $39999","0","No","Strongly Agree","7","6","7","Strongly Agree","8","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
731,"Seg3",6,6,4,6,9,9,9,9,8,9,9,9,9,7,"French",,,"Bachelor's degree","Living common law","Female","45 to 54","$70000 to $79999","0","No","6","6","4","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
732,"Seg1",9,7,8,5,9,6,6,8,9,9,9,9,9,7,"English","No","Employed part-time","High school diploma or certificate","Married","Male","55 to 64","$20000 to $29999","0","No","Strongly Agree","7","8","5","Strongly Agree","6","6","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
733,"Seg1",9,8,9,8,5,2,9,9,9,8,9,9,9,8,"English",,"Fully employed","trades certificate","Married","Female","65 to 74","$150,000 to $174,999","0","No","Strongly Agree","8","Strongly Agree","8","5","2","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
734,"Seg8",9,8,9,8,9,9,8,9,6,5,8,7,4,9,,"No","Fully employed","High school diploma or certificate","Separated, not living with a life partner",,"45 to 54","$40000 to $49999","1","Yes","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","8","Strongly Agree","6","5","8","7"
735,"Seg3",8,6,5,6,8,8,8,9,9,9,9,9,9,6,"Spanish","No","Fully employed","No certificate, diploma or degree","Married","Female","24 or younger","$30000 to $39999","0","No","8","6","5","6","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
736,"Seg6",9,9,9,9,9,6,8,5,7,9,9,8,7,9,"Spanish","No","Fully employed",,"Married","Male","24 or younger","$60000 to $69999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","8","5","7","Strongly Agree","Strongly Agree","8"
737,"Seg1",9,8,6,6,8,5,3,7,9,9,6,8,7,5,"English","Yes","Employed part-time","University certificate above bachelor's degree","Married","Female","25 to 34","$70000 to $79999","0","No","Strongly Agree","8","6","6","8","5","3","7","Strongly Agree","Strongly Agree","6","8"
738,"Seg8",9,5,7,8,9,7,9,9,9,7,5,7,9,6,"Spanish","No",,,"Married","Male","65 to 74","$30000 to $39999","0","No","Strongly Agree","5","7","8","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","7","5","7"
739,"Seg6",9,9,8,9,9,7,9,8,9,9,9,9,8,9,"French","No","Fully employed","Bachelor's degree","Married",,"85 to 94","$90000 to $99999","1","Yes","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
740,"Seg6",9,6,9,8,9,9,9,9,8,9,9,9,9,9,"English","No","Not employed","trades certificate","Single, never married, not living with a life partner","Female","35 to 44","$20000 to $29999","1","Yes","Strongly Agree","6","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
741,"Seg3",9,8,6,5,9,6,9,9,9,8,9,9,9,8,"English","No","Employed part-time","Bachelor's degree","Married","Male","75 to 84","$30000 to $39999","1","Yes","Strongly Agree","8","6","5","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
742,"Seg4",8,5,5,5,6,4,6,6,9,8,9,5,6,8,"English","Yes","Fully employed","High school diploma or certificate","Living common law",,"65 to 74","$100000 to $149999","0","No","8","5","5","5","6","4","6","6","Strongly Agree","8","Strongly Agree","5"
743,"Seg8",8,8,7,6,8,6,6,8,8,6,5,5,8,9,"Spanish","No","Not employed","Bachelor's degree","Divorced, not living with a life partner","Male","65 to 74","$90000 to $99999","1","Yes","8","8","7","6","8","6","6","8","8","6","5","5"
744,"Seg6",9,9,8,7,9,8,9,9,9,9,9,9,9,9,,"No",,"College diploma","Single, never married, not living with a life partner","Female","55 to 64","$30000 to $39999","1","Yes","Strongly Agree","Strongly Agree","8","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
745,"Seg6",9,9,9,9,9,9,7,7,8,8,9,9,9,8,"English","Yes","Employed part-time","College diploma","Married",,,"$30000 to $39999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","7","8","8","Strongly Agree","Strongly Agree"
746,"Seg7",8,3,3,7,8,6,5,8,9,8,7,8,8,5,"French","No","Employed part-time","High school diploma or certificate","Living common law","Female","55 to 64","$20000 to $29999","0","No","8","3","3","7","8","6","5","8","Strongly Agree","8","7","8"
747,"Seg6",9,7,9,8,9,9,9,9,9,9,9,9,9,9,"English","No","Fully employed","No certificate, diploma or degree","Married","Female","75 to 84","$20000 to $29999","1","Yes","Strongly Agree","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
748,"Seg7",4,7,8,5,8,8,8,9,9,9,7,6,7,6,"English","Yes","Not employed",,"Separated, not living with a life partner","Female","24 or younger","$60000 to $69999","1","Yes","4","7","8","5","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","7","6"
749,"Seg7",9,5,8,4,7,7,7,9,9,7,9,9,7,8,"English","No","Fully employed","No certificate, diploma or degree","Living common law","Male","35 to 44","$30000 to $39999","1","Yes","Strongly Agree","5","8","4","7","7","7","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree"
750,"Seg7",9,3,4,5,9,8,7,5,9,9,9,9,8,4,"English","No","Employed part-time","High school diploma or certificate",,,"75 to 84","$20000 to $29999","0","No","Strongly Agree","3","4","5","Strongly Agree","8","7","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
751,"Seg8",9,6,6,6,7,7,6,9,7,8,7,8,7,9,"Spanish","No","Employed part-time","College diploma","Living common law","Female","25 to 34","$30000 to $39999","1","Yes","Strongly Agree","6","6","6","7","7","6","Strongly Agree","7","8","7","8"
752,"Seg6",9,9,9,9,8,9,6,9,9,9,9,9,9,9,,"Yes","Employed part-time",,"Single, never married, not living with a life partner","Male","24 or younger","$60000 to $69999","0","No","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
753,"Seg6",9,8,9,6,9,9,9,9,9,9,8,9,9,8,"English","No","Not employed","College diploma","Married","Male","65 to 74","$40000 to $49999","0","No","Strongly Agree","8","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
754,"Seg6",9,9,8,9,9,9,9,9,7,6,8,9,9,9,"Spanish","No","Not employed","High school diploma or certificate","Living common law","Female","65 to 74","$40000 to $49999","1","Yes","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","6","8","Strongly Agree"
755,"Seg3",9,9,4,5,7,5,8,8,9,9,8,9,8,7,"English","No","Fully employed","High school diploma or certificate",,,"25 to 34","$175,000 to $199,999,","0","No","Strongly Agree","Strongly Agree","4","5","7","5","8","8","Strongly Agree","Strongly Agree","8","Strongly Agree"
756,"Seg7",8,7,6,3,5,7,5,6,9,9,8,8,9,5,"English","No","Employed part-time","College diploma","Married","Female","45 to 54","$20000 to $29999","0","No","8","7","6","3","5","7","5","6","Strongly Agree","Strongly Agree","8","8"
757,"Seg3",9,9,7,4,9,9,7,9,9,9,8,9,5,9,"English","No","Employed part-time","Bachelor's degree","Married","Male","24 or younger","$30000 to $39999","1","Yes","Strongly Agree","Strongly Agree","7","4","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
758,"Seg6",9,9,9,9,9,8,9,8,9,9,9,9,8,3,"English","Yes","Employed part-time","High school diploma or certificate","Single, never married, not living with a life partner","Male",,"$20000 to $29999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
759,"Seg3",9,6,4,5,8,9,7,6,9,7,9,7,9,9,"English","No","Employed part-time","No certificate, diploma or degree","Married","Male","55 to 64","$90000 to $99999","0","No","Strongly Agree","6","4","5","8","Strongly Agree","7","6","Strongly Agree","7","Strongly Agree","7"
760,"Seg1",9,8,9,9,6,6,9,6,9,7,9,8,9,6,"Italian","Yes","Fully employed","High school diploma or certificate","Separated, not living with a life partner","Female","24 or younger","$175,000 to $199,999,","1","Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","6","6","Strongly Agree","6","Strongly Agree","7","Strongly Agree","8"
761,"Seg7",7,7,7,7,9,7,5,9,9,9,9,9,9,4,,,"Fully employed","High school diploma or certificate","Living common law","Female","35 to 44","$30000 to $39999","0","No","7","7","7","7","Strongly Agree","7","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
762,"Seg3",8,9,7,7,9,7,8,9,8,8,8,9,7,6,"Spanish","No","Employed part-time","College diploma","Married","Male","35 to 44","$200,000 or more","1","Yes","8","Strongly Agree","7","7","Strongly Agree","7","8","Strongly Agree","8","8","8","Strongly Agree"
763,"Seg7",7,6,7,8,9,8,7,9,9,9,9,8,6,4,"English","Yes",,,"Living common law","Male",,"$30000 to $39999","0","No","7","6","7","8","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8"
764,"Seg3",8,8,9,3,7,8,7,9,9,8,7,8,9,9,"French","No","Employed part-time","Bachelor's degree","Married","Male","55 to 64","$60000 to $69999","1","Yes","8","8","Strongly Agree","3","7","8","7","Strongly Agree","Strongly Agree","8","7","8"
765,"Seg6",9,9,9,7,9,9,9,9,9,9,9,9,9,9,"English","No","Employed part-time","High school diploma or certificate","Married","Female","25 to 34","$70000 to $79999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
766,"Seg4",9,4,5,6,7,9,6,9,6,7,6,5,6,8,"English","No","Employed part-time","Bachelor's degree","Single, never married, not living with a life partner","Male","25 to 34","$60000 to $69999","0","No","Strongly Agree","4","5","6","7","Strongly Agree","6","Strongly Agree","6","7","6","5"
767,"Seg3",7,6,8,5,8,8,7,8,8,9,8,9,5,8,"Spanish","No","Not employed","High school diploma or certificate","Married","Female","35 to 44",,"1","Yes","7","6","8","5","8","8","7","8","8","Strongly Agree","8","Strongly Agree"
768,"Seg1",9,9,9,8,8,4,7,9,9,9,8,9,8,7,"Spanish","No","Not employed","Bachelor's degree","Living common law","Female","35 to 44","$100000 to $149999","0","No","Strongly Agree","Strongly Agree","Strongly Agree","8","8","4","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
769,"Seg1",8,7,7,4,5,8,6,7,9,9,9,8,7,7,"Spanish","No","Employed part-time","High school diploma or certificate","Married","Female","75 to 84","$50000 to $59999","0","No","8","7","7","4","5","8","6","7","Strongly Agree","Strongly Agree","Strongly Agree","8"
770,"Seg6",7,7,9,8,9,9,7,6,7,9,9,8,9,9,,"Yes","Not employed","Bachelor's degree",,"Male","55 to 64","$40000 to $49999","1","Yes","7","7","Strongly Agree","8","Strongly Agree","Strongly Agree","7","6","7","Strongly Agree","Strongly Agree","8"
771,"Seg6",9,9,9,9,9,9,6,7,9,9,6,9,8,9,"English","No","Not employed","High school diploma or certificate","Living common law","Female","65 to 74","$150,000 to $174,999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","7","Strongly Agree","Strongly Agree","6","Strongly Agree"
772,"Seg3",9,8,7,6,9,9,8,9,9,9,9,9,8,9,"English","No",,"No certificate, diploma or degree","Married","Female","24 or younger","$40000 to $49999","1","Yes","Strongly Agree","8","7","6","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
773,"Seg1",9,4,6,8,8,4,7,9,9,9,8,7,5,7,"English","No",,"Bachelor's degree","Single, never married, not living with a life partner","Female","45 to 54","Less than $20,000","1","Yes","Strongly Agree","4","6","8","8","4","7","Strongly Agree","Strongly Agree","Strongly Agree","8","7"
774,"Seg6",9,9,5,9,7,6,9,9,9,9,9,9,9,8,"English","No","Fully employed","High school diploma or certificate","Single, never married, not living with a life partner",,"65 to 74","$30000 to $39999","1","Yes","Strongly Agree","Strongly Agree","5","Strongly Agree","7","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
775,"Seg3",9,7,6,6,7,9,6,9,8,8,7,9,7,8,"French","No","Fully employed","High school diploma or certificate","Married","Female","75 to 84","$175,000 to $199,999,","0","No","Strongly Agree","7","6","6","7","Strongly Agree","6","Strongly Agree","8","8","7","Strongly Agree"
776,"Seg7",5,5,4,5,9,4,7,9,9,9,8,9,8,7,"English","No","Not employed","College diploma","Living common law","Female","55 to 64","$60000 to $69999","0","No","5","5","4","5","Strongly Agree","4","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
777,"Seg6",9,8,8,7,9,9,6,8,9,7,9,9,7,6,"Spanish","No","Not employed","College diploma","Married","Female","65 to 74",,"0","No","Strongly Agree","8","8","7","Strongly Agree","Strongly Agree","6","8","Strongly Agree","7","Strongly Agree","Strongly Agree"
778,"Seg3",8,6,5,6,8,9,7,7,7,9,9,8,8,7,,"No","Not employed","High school diploma or certificate","Living common law","Male","65 to 74","Less than $20,000","1","Yes","8","6","5","6","8","Strongly Agree","7","7","7","Strongly Agree","Strongly Agree","8"
779,"Seg7",6,6,5,2,7,6,6,9,8,9,8,7,8,3,"Spanish","No",,"College diploma","Married","Male","45 to 54","$80000 to $89999","0","No","6","6","5","2","7","6","6","Strongly Agree","8","Strongly Agree","8","7"
780,"Seg8",9,4,9,8,9,8,6,6,9,8,7,9,7,8,"English","No","Fully employed","trades certificate","Divorced, not living with a life partner","Female","35 to 44","$30000 to $39999","1","Yes","Strongly Agree","4","Strongly Agree","8","Strongly Agree","8","6","6","Strongly Agree","8","7","Strongly Agree"
781,"Seg7",4,4,4,4,9,7,8,7,9,9,9,9,8,5,"English","No",,"High school diploma or certificate","Married","Female","65 to 74","$40000 to $49999","0","No","4","4","4","4","Strongly Agree","7","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
782,"Seg3",9,6,8,8,9,9,7,9,8,8,9,9,7,6,"English","No","Fully employed","Bachelor's degree","Separated, not living with a life partner","Female","75 to 84","Less than $20,000","1","Yes","Strongly Agree","6","8","8","Strongly Agree","Strongly Agree","7","Strongly Agree","8","8","Strongly Agree","Strongly Agree"
783,"Seg7",8,4,1,6,9,7,7,8,9,9,9,8,8,6,"English","No","Not employed","High school diploma or certificate","Living common law","Female","45 to 54","$70000 to $79999","1","Yes","8","4","Strongly Disagree","6","Strongly Agree","7","7","8","Strongly Agree","Strongly Agree","Strongly Agree","8"
784,"Seg1",9,9,7,9,7,5,8,7,8,9,9,9,7,8,"English","No","Employed part-time","No certificate, diploma or degree","Living common law","Male","35 to 44",,"0","No","Strongly Agree","Strongly Agree","7","Strongly Agree","7","5","8","7","8","Strongly Agree","Strongly Agree","Strongly Agree"
785,"Seg6",9,9,9,8,8,8,9,9,9,9,9,9,9,5,"Spanish","Yes","Not employed","Master's degree","Separated, not living with a life partner","Male","35 to 44","$70000 to $79999","0","No","Strongly Agree","Strongly Agree","Strongly Agree","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
786,"Seg7",8,5,7,6,9,8,6,9,9,9,8,9,9,6,"English","No","Employed part-time","College diploma","Married","Female","35 to 44","$50000 to $59999","0","No","8","5","7","6","Strongly Agree","8","6","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
787,"Seg8",7,7,8,8,9,8,6,7,9,9,9,6,9,6,"English","No",,"Bachelor's degree","Married","Female","25 to 34","$80000 to $89999","1","Yes","7","7","8","8","Strongly Agree","8","6","7","Strongly Agree","Strongly Agree","Strongly Agree","6"
788,"Seg6",9,9,9,9,9,6,9,8,9,9,7,8,9,9,"English",,"Fully employed","Bachelor's degree","Married","Male","24 or younger","$175,000 to $199,999,","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","Strongly Agree","8","Strongly Agree","Strongly Agree","7","8"
789,"Seg1",8,8,7,9,9,8,4,7,9,9,9,9,9,8,"Italian","Yes","Fully employed","No certificate, diploma or degree","Married","Female","55 to 64","$50000 to $59999","1","Yes","8","8","7","Strongly Agree","Strongly Agree","8","4","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
790,"Seg7",7,5,7,5,9,8,8,9,8,9,9,8,8,6,,,"Employed part-time","High school diploma or certificate","Married",,"24 or younger","$70000 to $79999","0","No","7","5","7","5","Strongly Agree","8","8","Strongly Agree","8","Strongly Agree","Strongly Agree","8"
791,"Seg6",8,8,8,8,9,8,8,8,9,9,9,9,9,5,"French","Yes","Fully employed","College diploma","Separated, not living with a life partner","Male","65 to 74","$200,000 or more","1","Yes","8","8","8","8","Strongly Agree","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
792,"Seg8",9,9,9,8,9,9,5,8,7,4,8,6,8,8,"English","No","Fully employed","High school diploma or certificate","Married","Female","55 to 64","$150,000 to $174,999","0","No","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","5","8","7","4","8","6"
793,"Seg3",9,5,7,5,9,9,9,8,9,9,9,9,7,6,"English","Yes","Employed part-time","High school diploma or certificate","Married","Female","65 to 74","$20000 to $29999","0","No","Strongly Agree","5","7","5","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
794,"Seg7",9,6,6,4,9,6,9,9,9,9,9,9,9,4,"French","No","Employed part-time","Bachelor's degree",,"Female","75 to 84","$70000 to $79999","1","Yes","Strongly Agree","6","6","4","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
795,"Seg6",9,8,9,9,7,9,8,9,9,9,9,9,9,4,"French","No","Employed part-time","College diploma","Married","Female","24 or younger","$30000 to $39999","0","No","Strongly Agree","8","Strongly Agree","Strongly Agree","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
796,"Seg3",9,6,5,5,9,8,8,9,8,9,9,9,5,8,"English","No","Fully employed","Bachelor's degree","Married","Male","75 to 84","Less than $20,000","1","Yes","Strongly Agree","6","5","5","Strongly Agree","8","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
797,"Seg6",9,9,7,8,9,8,8,9,9,9,9,9,9,9,"English","No","Fully employed",,"Separated, not living with a life partner","Female","35 to 44","$80000 to $89999","1","Yes","Strongly Agree","Strongly Agree","7","8","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
798,"Seg3",8,8,5,8,8,8,9,9,8,6,9,9,8,8,,"No","Not employed","No certificate, diploma or degree","Living common law","Female","25 to 34",,"1","Yes","8","8","5","8","8","8","Strongly Agree","Strongly Agree","8","6","Strongly Agree","Strongly Agree"
799,"Seg6",9,9,6,8,9,7,7,7,9,9,8,9,8,9,"English","No","Employed part-time","University certificate below bachelor level",,"Male","55 to 64",,"1","Yes","Strongly Agree","Strongly Agree","6","8","Strongly Agree","7","7","7","Strongly Agree","Strongly Agree","8","Strongly Agree"
800,"Seg8",9,7,9,6,9,9,5,8,8,9,6,9,9,8,,"No","Not employed","High school diploma or certificate","Divorced, not living with a life partner","Female","35 to 44",,"0","No","Strongly Agree","7","Strongly Agree","6","Strongly Agree","Strongly Agree","5","8","8","Strongly Agree","6","Strongly Agree"
801,"Seg3",9,8,6,7,7,7,8,9,9,9,9,9,9,8,"English",,"Not employed","Bachelor's degree","Married","Female","25 to 34","$50000 to $59999","1","Yes","Strongly Agree","8","6","7","7","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
802,"Seg8",8,7,6,9,9,9,8,9,7,7,6,6,8,7,,"Yes","Not employed","Bachelor's degree","Married","Female","65 to 74","$40000 to $49999","1","Yes","8","7","6","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","7","7","6","6"
803,"Seg7",5,2,2,2,8,6,7,7,9,9,7,8,5,3,"English","Yes","Employed part-time","College diploma","Married","Female","24 or younger","$200,000 or more","0","No","5","2","2","2","8","6","7","7","Strongly Agree","Strongly Agree","7","8"
804,"Seg1",9,6,8,6,6,7,5,6,9,7,8,6,7,7,"Spanish","No","Fully employed","Bachelor's degree","Married","Female","35 to 44","$80000 to $89999","0","No","Strongly Agree","6","8","6","6","7","5","6","Strongly Agree","7","8","6"
805,"Seg4",7,7,7,7,4,4,5,4,9,8,7,8,5,4,"English","No","Employed part-time","College diploma","Living common law","Male","65 to 74","$20000 to $29999","0","No","7","7","7","7","4","4","5","4","Strongly Agree","8","7","8"
806,"Seg1",8,6,9,5,7,7,6,9,9,9,9,8,9,8,"English","No","Employed part-time","College diploma","Married","Male","55 to 64","$50000 to $59999","1","Yes","8","6","Strongly Agree","5","7","7","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8"
807,"Seg6",9,9,8,7,9,9,8,9,9,9,9,9,7,9,"English","No","Employed part-time","Bachelor's degree","Married","Female",,"Less than $20,000","1","Yes","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
808,"Seg1",9,7,7,9,8,6,7,8,9,9,9,8,7,6,"English","No","Employed part-time","No certificate, diploma or degree","Married","Female","35 to 44","$20000 to $29999","1","Yes","Strongly Agree","7","7","Strongly Agree","8","6","7","8","Strongly Agree","Strongly Agree","Strongly Agree","8"
809,"Seg6",9,9,6,8,9,7,9,7,9,9,9,8,8,7,"English","No","Fully employed",,"Married","Female","24 or younger","$20000 to $29999","1","Yes","Strongly Agree","Strongly Agree","6","8","Strongly Agree","7","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","8"
810,"Seg6",9,8,6,8,9,9,5,9,9,9,9,9,9,9,"English","No","Fully employed","High school diploma or certificate","Living common law","Female","75 to 84","$50000 to $59999","1","Yes","Strongly Agree","8","6","8","Strongly Agree","Strongly Agree","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
811,"Seg7",7,5,5,3,8,8,9,9,9,9,8,9,8,7,"English","No","Employed part-time","Bachelor's degree",,"Male","24 or younger","$30000 to $39999","0","No","7","5","5","3","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
812,"Seg8",9,6,8,7,9,8,6,9,9,7,7,7,9,9,"French","No","Employed part-time","Bachelor's degree","Living common law","Female","65 to 74","$90000 to $99999","1","Yes","Strongly Agree","6","8","7","Strongly Agree","8","6","Strongly Agree","Strongly Agree","7","7","7"
813,"Seg6",9,8,7,9,9,8,8,7,9,9,9,9,9,7,"English",,,"College diploma","Married","Female","75 to 84",,"1","Yes","Strongly Agree","8","7","Strongly Agree","Strongly Agree","8","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
814,"Seg6",9,9,7,8,9,9,9,9,9,9,9,9,8,9,"English","No","Employed part-time","No certificate, diploma or degree","Widowed","Male","65 to 74","$100000 to $149999","1","Yes","Strongly Agree","Strongly Agree","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
815,"Seg6",9,8,7,7,9,9,8,8,9,9,9,9,9,9,,"Yes","Fully employed","High school diploma or certificate","Living common law","Male","35 to 44","$40000 to $49999","1","Yes","Strongly Agree","8","7","7","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
816,"Seg6",9,9,8,7,9,9,9,9,9,9,9,8,9,9,"English","Yes","Fully employed","Bachelor's degree",,"Female",,"$30000 to $39999","1","Yes","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8"
